更新时间: 2026-04-12 06:50:23（北京时间）
⚠️ 注意：频道列表已通过30秒增强稳定性测试
📺 经过30秒稳定性测试，减少断流问题

免责声明,#genre#
免责声明视频,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV4,http://113.95.132.166:554/rtp/239.77.0.78:5146$广东电信
CCTV4,http://121.238.250.95:8800/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://183.164.55.112:5000/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://221.219.104.6:1193/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://221.219.75.32:4000/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://223.10.214.111:6000/rtp/239.1.1.10:8010$山西电信
CCTV4,http://43.138.5.183:10001/rtp/225.1.8.4:8092$北京市电信
CCTV4K,http://113.95.132.166:554/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://113.95.132.166:554/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://121.238.250.95:8800/rtp/239.49.0.82:8000$江苏电信
CCTV4K,http://183.164.55.112:5000/rtp/238.1.78.137:6968$安徽电信
CCTV4K,http://221.219.104.6:1193/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://221.219.104.6:1193/rtp/239.3.1.245:2000$北京市联通
CCTV4K,http://221.219.75.32:4000/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://221.219.75.32:4000/rtp/239.3.1.245:2000$北京市联通
CCTV4欧洲,http://113.95.132.166:554/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://221.219.104.6:1193/rtp/239.3.1.213:4220$北京市联通
CCTV4欧洲,http://221.219.75.32:4000/rtp/239.3.1.213:4220$北京市联通
CCTV4美洲,http://113.95.132.166:554/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://221.219.104.6:1193/rtp/239.3.1.214:4220$北京市联通
CCTV4美洲,http://221.219.75.32:4000/rtp/239.3.1.214:4220$北京市联通
CCTV5+,http://113.95.132.166:554/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://121.238.250.95:8800/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://183.164.55.112:5000/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://221.219.104.6:1193/rtp/239.3.1.130:8004$北京市联通
CCTV5+,http://221.219.75.32:4000/rtp/239.3.1.130:8004$北京市联通
CCTV5+,http://223.10.214.111:6000/rtp/239.1.1.12:8012$山西电信
CCTV5+,http://43.138.5.183:10001/rtp/225.1.8.20:8004$北京市电信
CCTV5,http://113.95.132.166:554/rtp/239.77.0.170:5146$广东电信
CCTV5,http://121.238.250.95:8800/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://183.164.55.112:5000/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://221.219.104.6:1193/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://221.219.75.32:4000/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://223.10.214.111:6000/rtp/239.1.1.11:8011$山西电信
CCTV5,http://43.138.5.183:10001/rtp/225.1.8.89:8000$北京市电信
CCTV6,http://113.95.132.166:554/rtp/239.77.0.171:5146$广东电信
CCTV6,http://121.238.250.95:8800/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://183.164.55.112:5000/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://221.219.104.6:1193/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://221.219.75.32:4000/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://223.10.214.111:6000/rtp/239.1.1.13:8013$山西电信
CCTV6,http://43.138.5.183:10001/rtp/225.1.8.84:8000$北京市电信
CCTV7,http://113.95.132.166:554/rtp/239.77.0.138:5146$广东电信
CCTV7,http://121.238.250.95:8800/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://183.164.55.112:5000/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://221.219.104.6:1193/rtp/239.3.1.61:8104$北京市联通
CCTV7,http://221.219.75.32:4000/rtp/239.3.1.61:8104$北京市联通
CCTV7,http://223.10.214.111:6000/rtp/239.1.1.14:8014$山西电信
CCTV7,http://43.138.5.183:10001/rtp/225.1.8.7:8104$北京市电信
CCTV8,http://113.95.132.166:554/rtp/239.77.0.172:5146$广东电信
CCTV8,http://121.238.250.95:8800/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://183.164.55.112:5000/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://221.219.104.6:1193/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://221.219.75.32:4000/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://223.10.214.111:6000/rtp/239.1.1.15:8015$山西电信
CCTV8,http://43.138.5.183:10001/rtp/225.1.8.85:8000$北京市电信
CCTV9,http://113.95.132.166:554/rtp/239.77.0.135:5146$广东电信
CCTV9,http://121.238.250.95:8800/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://183.164.55.112:5000/rtp/238.1.78.240:7792$安徽电信
CCTV9,http://221.219.104.6:1193/rtp/239.3.1.62:8112$北京市联通
CCTV9,http://221.219.75.32:4000/rtp/239.3.1.62:8112$北京市联通
